pl_name,sy_snum,pl_orbsmax,pl_rade,st_rad,sy_dist
11 Com b,2,1.178,12.2,13.76,93.1846
11 UMi b,1,1.53,12.3,29.79,125.321
14 And b,1,0.775,13.1,11.55,75.4392
14 Her b,1,2.774,12.6,0.93,17.9323
16 Cyg B b,3,1.66,13.5,1.13,21.1397
17 Sco b,1,1.45,12.9,25.92,124.953
18 Del b,2,2.476,12.5,8.8,76.222
1RXS J160929.1-210524 b,1,330,18.647,1.31,139.135
24 Boo b,1,0.194,13.9,12.19,95.9863
24 Sex b,1,1.333,13.4,4.9,72.0691
24 Sex c,1,2.08,13.9,4.9,72.0691
2M0437 b,1,118,13,0.84,128.484
2MASS J01033563-5515561 AB b,2,84,12.3,0,47.2
2MASS J01225093-2439505 b,1,52,11.209,0.37,33.8281
2MASS J02192210-3925225 b,1,156,16.141,0.28,40.0896412
2MASS J0249-0557 c,2,1950,12.4,0.32,66.0613
2MASS J03590986+2009361 b,1,572,12.2,0.29,117.435
2MASS J04414489+2301513 b,1,15,12.6,0.23,120.423987
2MASS J11011926-7732383 b,1,266,11.9,0,0
2MASS J11550485-7919108 b,1,587,12.1,0.6,100.862
2MASS J12073346-3932539 b,1,55,12.9,0.22,64.308
2MASS J19383260+4603591 b,2,0.92,13.4,0.2,396.332
2MASS J21252752-8138278 b,1,7493,12.4,0.67,34.1154
2MASS J22362452+4751425 b,1,230,12.3,0.64,69.5737
30 Ari B b,4,0.99,12.3,1.41,44.657
4 UMa b,1,0.877,12.6,18.11,73.4603
42 Dra b,2,1.19,13,22.03,90.6545
47 UMa b,1,2.1,13.2,1.21,13.7967
47 UMa c,1,3.6,14.2,1.21,13.7967
47 UMa d,1,11.6,13.5,1.21,13.7967
51 Eri b,3,13.2,13.4,1.49,29.7575
51 Peg b,1,0.0527,14.3,1.18,15.4614
55 Cnc b,2,0.1134,13.9,0.94,12.5855
55 Cnc c,2,0.2373,8.51,0.94,12.5855
55 Cnc d,2,5.957,13,0.94,12.5855
55 Cnc e,2,0.01544,1.875,0.94,12.5855
55 Cnc f,2,0.7708,7.59,0.94,12.5855
6 Lyn b,1,2.028,13.4,4.94,54.6599
61 Vir b,1,0.050201,2.11,0.96,8.50332
61 Vir c,1,0.2175,4.46,0.96,8.50332
61 Vir d,1,0.476,5.11,0.96,8.50332
7 CMa b,1,1.758,13.4,4.87,19.8101
7 CMa c,1,2.153,13.9,4.87,19.8101
70 Vir b,1,0.481,12.6,1.89,17.9011
75 Cet b,2,1.912,13.3,10.38,82.9613
75 Cet c,2,3.929,13.9,10.38,82.9613
8 UMi b,1,0.49,13.6,10.3,162.552
81 Cet b,1,2.104,13.1,11.21,101.26
91 Aqr b,3,0.7,13.1,11,44.0304
